Agency Name,State Name [District] Latest available year,Agency ID,County Name [District] 2010-11,State Abbr [District] Latest available year,Agency Name [District] 2010-11
ADA EXEMPTED VILLAGE,Ohio,3904518,HARDIN COUNTY,OH ,ADA EXEMPTED VILLAGE
ADA-BORUP PUBLIC SCHOOL DISTRICT,Minnesota,2700126,NORMAN COUNTY,MN ,ADA-BORUP PUBLIC SCHOOL DISTRICT
ADAIR,Oklahoma,4002460,MAYES COUNTY,OK ,ADAIR
ADAIR CO,Kentucky,2100030,ADAIR COUNTY,KY ,ADAIR CO
ADAIR CO. R-I,Missouri,2922980,ADAIR COUNTY,MO ,ADAIR CO. R-I
ADAIR CO. R-II,Missouri,2905790,ADAIR COUNTY,MO ,ADAIR CO. R-II
ADAIR-CASEY COMM SCHOOL DISTRICT,Iowa,1903090,GUTHRIE COUNTY,IA ,ADAIR-CASEY COMM SCHOOL DISTRICT
ADAMS 1 MAPLETON,Colorado,800258,ADAMS COUNTY,CO ,ADAMS 1 MAPLETON
ADAMS 12 FIVE STAR SCHOOLS,Colorado,806900,ADAMS COUNTY,CO ,ADAMS 12 FIVE STAR SCHOOLS
ADAMS 12 NORTHGLENN,Colorado,800268,ADAMS COUNTY,CO ,ADAMS 12 NORTHGLENN
ADAMS 128,North Dakota,3801680,WALSH COUNTY,ND ,ADAMS 128
ADAMS 14 COMMERCE CITY,Colorado,800272,ADAMS COUNTY,CO ,ADAMS 14 COMMERCE CITY
ADAMS 27J BRIGHTON,Colorado,800237,ADAMS COUNTY,CO ,ADAMS 27J BRIGHTON
ADAMS 50 WESTMINSTER,Colorado,800257,ADAMS COUNTY,CO ,ADAMS 50 WESTMINSTER
ADAMS CENTRAL COMMUNITY SCHOOLS,Indiana,1800060,ADAMS COUNTY,IN ,ADAMS CENTRAL COMMUNITY SCHOOLS
ADAMS CENTRAL PUBLIC SCHOOLS,Nebraska,3102770,ADAMS COUNTY,NE ,ADAMS CENTRAL PUBLIC SCHOOLS
ADAMS COUNTY BOCES,Colorado,800009,ADAMS COUNTY,CO ,ADAMS COUNTY BOCES
ADAMS COUNTY/OHIO VALLEY LOCAL,Ohio,3906190,ADAMS COUNTY,OH ,ADAMS COUNTY/OHIO VALLEY LOCAL
ADAMS TOWNSHIP SCHOOL DISTRICT,Michigan,2601890,HOUGHTON COUNTY,MI ,ADAMS TOWNSHIP SCHOOL DISTRICT
ADAMS-ARAP 28J AURORA,Colorado,800255,ARAPAHOE COUNTY,CO ,ADAMS-ARAP 28J AURORA
ADAMS-CHESHIRE,Massachusetts,2501780,BERKSHIRE COUNTY,MA ,ADAMS-CHESHIRE
