Agency Name,State Name [District] Latest available year,Agency ID,County Name [District] 2010-11,State Abbr [District] Latest available year,Agency Name [District] 2010-11
SAINT MARYS AREA SD,Pennsylvania,4220640,ELK COUNTY,PA ,SAINT MARYS AREA SD
SAINT REGIS FALLS CENTRAL SCHOOL DISTRICT,New York,3627990,FRANKLIN COUNTY,NY ,SAINT REGIS FALLS CENTRAL SCHOOL DISTRICT
SALADO ISD,Texas,4838580,BELL COUNTY,TX ,SALADO ISD
SALAMANCA CITY SCHOOL DISTRICT,New York,3625440,CATTARAUGUS COUNTY,NY ,SALAMANCA CITY SCHOOL DISTRICT
SALEM,Massachusetts,2510380,ESSEX COUNTY,MA ,SALEM
SALEM ACADEMY CHARTER (DISTRICT),Massachusetts,2500084,ESSEX COUNTY,MA ,SALEM ACADEMY CHARTER (DISTRICT)
SALEM CENTRAL SCHOOL DISTRICT,New York,3625470,WASHINGTON COUNTY,NY ,SALEM CENTRAL SCHOOL DISTRICT
SALEM CHSD 600,Illinois,1735190,MARION COUNTY,IL ,SALEM CHSD 600
SALEM CITY,Ohio,3910006,COLUMBIANA COUNTY,OH ,SALEM CITY
SALEM CITY BOARD OF EDUCATION,New Jersey,3414550,SALEM COUNTY,NJ ,SALEM CITY
SALEM CITY PBLC SCHS,Virginia,5103460,SALEM CITY,VA ,SALEM CITY PBLC SCHS
SALEM COMMUNITY CHARTER SCHOOL (DISTRICT),Massachusetts,2500532,дус,MA ,SALEM COMMUNITY CHARTER SCHOOL DISTRICT
SALEM COMMUNITY SCHOOLS,Indiana,1809810,WASHINGTON COUNTY,IN ,SALEM COMMUNITY SCHOOLS
SALEM COUNTY SPECIAL SERVICES SCHOOL DISTRICT,New Jersey,3480361,SALEM COUNTY,NJ ,SALEM CO SPECIAL SERVICES
SALEM COUNTY VOCATIONAL TECHNICAL SCHOOL,New Jersey,3414580,SALEM COUNTY,NJ ,SALEM COUNTY VOCATIONAL S
SALEM R-80,Missouri,2927090,DENT COUNTY,MO ,SALEM R-80
SALEM SAU OFFICE,New Hampshire,3399957,ROCKINGHAM COUNTY,NH ,SALEM SAU OFFICE
SALEM SCHOOL DISTRICT,New Hampshire,3306060,ROCKINGHAM COUNTY,NH ,SALEM SCHOOL DISTRICT
SALEM SCHOOL DISTRICT,Connecticut,903900,NEW LONDON COUNTY,CT ,SALEM SCHOOL DISTRICT
SALEM SCHOOL DISTRICT,Arkansas,512090,FULTON COUNTY,AR ,SALEM SCHOOL DISTRICT
SALEM SCHOOL DISTRICT,Wisconsin,5513350,KENOSHA COUNTY,WI ,SALEM SCHOOL DISTRICT
SALEM SD 111,Illinois,1735160,MARION COUNTY,IL ,SALEM SD 111
SALEM-KEIZER SD 24J,Oregon,4110820,MARION COUNTY,OR ,SALEM-KEIZER SD 24J
SALIDA SCHOOL DISTRICT NO. R-32,Colorado,806330,CHAFFEE COUNTY,CO ,SALIDA SCHOOL DISTRICT NO. R-32
SALIDA UNION ELEM,California,633900,STANISLAUS COUNTY,CA ,SALIDA UNION ELEMENTARY
SALINA,Kansas,2011370,SALINE COUNTY,KS ,SALINA
SALINA,Oklahoma,4026730,MAYES COUNTY,OK ,SALINA
SALINAS CITY ELEM,California,633930,MONTEREY COUNTY,CA ,SALINAS CITY ELEMENTARY
SALINAS UNION HIGH,California,633980,MONTEREY COUNTY,CA ,SALINAS UNION HIGH
SALINE AREA SCHOOLS,Michigan,2630660,WASHTENAW COUNTY,MI ,SALINE AREA SCHOOLS
SALINE COUNTY VOCATIONAL CENTER,Arkansas,500058,SALINE COUNTY,AR ,SALINE COUNTY VOCATIONAL CENTER
SALISBURY R-IV,Missouri,2927520,CHARITON COUNTY,MO ,SALISBURY R-IV
SALISBURY SCHOOL DISTRICT,Connecticut,903930,LITCHFIELD COUNTY,CT ,SALISBURY SCHOOL DISTRICT
SALISBURY SCHOOL DISTRICT,Vermont,5007140,ADDISON COUNTY,VT ,SALISBURY SCHOOL DISTRICT
SALISBURY TOWNSHIP SD,Pennsylvania,4220730,LEHIGH COUNTY,PA ,SALISBURY TOWNSHIP SD
SALISBURY-ELK LICK SD,Pennsylvania,4220760,SOMERSET COUNTY,PA ,SALISBURY-ELK LICK SD
SALLIE B HOWARD SCHOOL,North Carolina,3700049,WILSON COUNTY,NC ,SALLIE B HOWARD SCHOOL
SALLISAW,Oklahoma,4026790,SEQUOYAH COUNTY,OK ,SALLISAW
SALMON DISTRICT,Idaho,1602850,LEMHI COUNTY,ID ,SALMON DISTRICT
SALMON RIVER CENTRAL SCHOOL DISTRICT,New York,3625500,FRANKLIN COUNTY,NY ,SALMON RIVER CENTRAL SCHOOL DISTRICT
SALMON RIVER JOINT SCHOOL DIST,Idaho,1600138,IDAHO COUNTY,ID ,SALMON RIVER JOINT SCHOOL DIST
SALOME CONSOLIDATED ELEMENTARY DISTRICT,Arizona,400005,LA PAZ COUNTY,AZ ,SALOME CONSOLIDATED ELEMENTARY DISTRICT
SALT CREEK SD 48,Illinois,1735220,DUPAGE COUNTY,IL ,SALT CREEK SD 48
SALT LAKE ARTS ACADEMY,Utah,4900018,SALT LAKE COUNTY,UT ,SALT LAKE ARTS ACADEMY
SALT LAKE CENTER FOR SCIENCE EDUCATION,Utah,4900123,SALT LAKE COUNTY,UT ,SALT LAKE CENTER FOR SCIENCE EDUCATION
SALT LAKE DISTRICT,Utah,4900870,SALT LAKE COUNTY,UT ,SALT LAKE DISTRICT
SALT LAKE SCHOOL FOR THE PERFORMING ARTS,Utah,4900050,SALT LAKE COUNTY,UT ,SALT LAKE SCHOOL FOR THE PERFORMING ARTS
SALT RIVER PIMA-MARICOPA  COMMUNITY SCHOOLS,Arizona,400047,MARICOPA COUNTY,AZ ,SALT RIVER PIMA-MARICOPA  COMMUNITY SCHOOLS
SALTILLO ISD,Texas,4838610,HOPKINS COUNTY,TX ,SALTILLO ISD
SALUDA 01,South Carolina,4503460,SALUDA COUNTY,SC ,SALUDA 01
SAM RAYBURN ISD,Texas,4838640,FANNIN COUNTY,TX ,SAM RAYBURN ISD
SAMNORWOOD ISD,Texas,4838670,COLLINGSWORTH COUNTY,TX ,SAMNORWOOD ISD
SAMPSON COUNTY SCHOOLS,North Carolina,3704140,SAMPSON COUNTY,NC ,SAMPSON COUNTY SCHOOLS
SAN ANGELO ISD,Texas,4838700,TOM GREEN COUNTY,TX ,SAN ANGELO ISD
SAN ANTONIO CAN HIGH SCHOOL,Texas,4800178,DALLAS COUNTY,TX ,SAN ANTONIO CAN HIGH SCHOOL
SAN ANTONIO ISD,Texas,4838730,BEXAR COUNTY,TX ,SAN ANTONIO ISD
SAN ANTONIO PREPARATORY ACADEMY,Texas,4800245,BEXAR COUNTY,TX ,SAN ANTONIO PREPARATORY ACADEMY
SAN ANTONIO ROP,California,601367,LOS ANGELES COUNTY,CA ,SAN ANTONIO ROP
SAN ANTONIO ROP,California,600114,LOS ANGELES COUNTY,CA ,SAN ANTONIO ROP
SAN ANTONIO SCHOOL FOR INQUIRY & CREATIVITY,Texas,4800200,BEXAR COUNTY,TX ,SAN ANTONIO SCHOOL FOR INQUIRY & CREATIVITY
SAN ANTONIO TECHNOLOGY ACADEMY,Texas,4800180,BEXAR COUNTY,TX ,SAN ANTONIO TECHNOLOGY ACADEMY
SAN ANTONIO UNION ELEM,California,634050,MONTEREY COUNTY,CA ,SAN ANTONIO UNION ELEMENTARY
SAN ARDO UNION ELEM,California,634080,MONTEREY COUNTY,CA ,SAN ARDO UNION ELEMENTARY
SAN AUGUSTINE ISD,Texas,4838760,SAN AUGUSTINE COUNTY,TX ,SAN AUGUSTINE ISD
SAN BENITO CISD,Texas,4838790,CAMERON COUNTY,TX ,SAN BENITO CISD
SAN BENITO COUNTY OFFICE OF EDUCATION,California,691028,SAN BENITO COUNTY,CA ,SAN BENITO COUNTY OFFICE OF EDUCATION
SAN BENITO HIGH,California,634140,SAN BENITO COUNTY,CA ,SAN BENITO HIGH
SAN BERNARDINO CITY UNF,California,634170,SAN BERNARDINO COUNTY,CA ,SAN BERNARDINO CITY UNIFIED
SAN BERNARDINO COUNTY OFFICE OF EDUCATION,California,691029,SAN BERNARDINO COUNTY,CA ,SAN BERNARDINO COUNTY OFFICE OF EDUCATION
SAN BERNARDINO COUNTY ROP,California,600132,SAN BERNARDINO COUNTY,CA ,SAN BERNARDINO COUNTY ROP
SAN BRUNO PARK ELEM,California,634230,SAN MATEO COUNTY,CA ,SAN BRUNO PARK ELEMENTARY
SAN CARLOS ELEM,California,634290,SAN MATEO COUNTY,CA ,SAN CARLOS ELEMENTARY
SAN CARLOS UNIFIED DISTRICT,Arizona,406960,GILA COUNTY,AZ ,SAN CARLOS UNIFIED DISTRICT
SAN DIEGO COUNTY OFFICE OF EDUCATION,California,691030,SAN DIEGO COUNTY,CA ,SAN DIEGO COUNTY OFFICE OF EDUCATION
SAN DIEGO COUNTY ROP,California,600138,SAN DIEGO COUNTY,CA ,SAN DIEGO COUNTY ROP
SAN DIEGO ISD,Texas,4838820,DUVAL COUNTY,TX ,SAN DIEGO ISD
SAN DIEGO UNF,California,634320,SAN DIEGO COUNTY,CA ,SAN DIEGO UNIFIED
SAN DIEGUITO UNION HIGH,California,634380,SAN DIEGO COUNTY,CA ,SAN DIEGUITO UNION HIGH
SAN ELIZARIO ISD,Texas,4838850,EL PASO COUNTY,TX ,SAN ELIZARIO ISD
SAN FELIPE-DEL RIO CISD,Texas,4838900,VAL VERDE COUNTY,TX ,SAN FELIPE-DEL RIO CISD
SAN FERNANDO ELEMENTARY DISTRICT,Arizona,407380,PIMA COUNTY,AZ ,SAN FERNANDO ELEMENTARY DISTRICT
SAN FRANCISCO COUNTY OFFICE OF EDUCATION,California,691111,SAN FRANCISCO COUNTY,CA ,SAN FRANCISCO COUNTY OFFICE OF EDUCATION
SAN FRANCISCO COUNTY ROP,California,600139,SAN FRANCISCO COUNTY,CA ,SAN FRANCISCO COUNTY ROP
SAN FRANCISCO UNF,California,634410,SAN FRANCISCO COUNTY,CA ,SAN FRANCISCO UNIFIED
SAN GABRIEL UNF,California,634425,LOS ANGELES COUNTY,CA ,SAN GABRIEL UNIFIED
SAN ISIDRO ISD,Texas,4838910,STARR COUNTY,TX ,SAN ISIDRO ISD
SAN JACINTO UNF,California,634440,RIVERSIDE COUNTY,CA ,SAN JACINTO UNIFIED
SAN JOAQUIN COUNTY OFFICE OF EDUCATION,California,691031,SAN JOAQUIN COUNTY,CA ,SAN JOAQUIN COUNTY OFFICE OF EDUCATION
SAN JOAQUIN COUNTY ROP,California,600140,SAN JOAQUIN COUNTY,CA ,SAN JOAQUIN COUNTY ROP
SAN JOAQUIN DATA PROCESSING JPA,California,601369,SAN JOAQUIN COUNTY,CA ,SAN JOAQUIN DATA PROCESSING JPA
SAN JON MUNICIPAL SCHOOLS,New Mexico,3502340,QUAY COUNTY,NM ,SAN JON MUNICIPAL SCHOOLS
SAN JOSE UNF,California,634590,SANTA CLARA COUNTY,CA ,SAN JOSE UNIFIED
SAN JUAN BOCES,Colorado,899300,LA PLATA COUNTY,CO ,SAN JUAN BOCES
SAN JUAN BOCES,Colorado,800253,LA PLATA COUNTY,CO ,SAN JUAN BOCES
SAN JUAN DISTRICT,Utah,4900900,SAN JUAN COUNTY,UT ,SAN JUAN DISTRICT
SAN JUAN ISLAND SCHOOL DISTRICT,Washington,5307650,SAN JUAN COUNTY,WA ,SAN JUAN ISLAND SCHOOL DISTRICT
SAN JUAN UNF,California,634620,SACRAMENTO COUNTY,CA ,SAN JUAN UNIFIED
SAN LEANDRO UNF,California,634680,ALAMEDA COUNTY,CA ,SAN LEANDRO UNIFIED
SAN LORENZO UNF,California,634710,ALAMEDA COUNTY,CA ,SAN LORENZO UNIFIED
SAN LORENZO VALLEY UNF,California,634740,SANTA CRUZ COUNTY,CA ,SAN LORENZO VALLEY UNIFIED
SAN LUCAS UNION ELEM,California,634770,MONTEREY COUNTY,CA ,SAN LUCAS UNION ELEMENTARY
SAN LUIS COASTAL UNF,California,634800,SAN LUIS OBISPO COUNTY,CA ,SAN LUIS COASTAL UNIFIED
SAN LUIS OBISPO COUNTY OFFICE OF EDUCATION,California,691032,SAN LUIS OBISPO COUNTY,CA ,SAN LUIS OBISPO COUNTY OFFICE OF EDUCATION
SAN LUIS VALLEY BOCES,Colorado,899320,ALAMOSA COUNTY,CO ,SAN LUIS VALLEY BOCES
SAN LUIS VALLEY BOCES,Colorado,800261,ALAMOSA COUNTY,CO ,SAN LUIS VALLEY BOCS
SAN MARCOS CISD,Texas,4838970,HAYS COUNTY,TX ,SAN MARCOS CISD
SAN MARCOS UNF,California,634880,SAN DIEGO COUNTY,CA ,SAN MARCOS UNIFIED
SAN MARINO UNF,California,634860,LOS ANGELES COUNTY,CA ,SAN MARINO UNIFIED
SAN MATEO COUNTY OFFICE OF EDUCATION,California,691033,SAN MATEO COUNTY,CA ,SAN MATEO COUNTY OFFICE OF EDUCATION
SAN MATEO COUNTY ROP,California,600142,SAN MATEO COUNTY,CA ,SAN MATEO COUNTY ROP
SAN MATEO UNION HIGH,California,634980,SAN MATEO COUNTY,CA ,SAN MATEO UNION HIGH
SAN MATEO-FOSTER CITY,California,634920,SAN MATEO COUNTY,CA ,SAN MATEO-FOSTER CITY
SAN MIGUEL JOINT UNION,California,635010,SAN LUIS OBISPO COUNTY,CA ,SAN MIGUEL JOINT UNION
SAN PASQUAL UNION ELEM,California,635040,SAN DIEGO COUNTY,CA ,SAN PASQUAL UNION ELEMENTARY
SAN PASQUAL VALLEY UNF,California,635070,IMPERIAL COUNTY,CA ,SAN PASQUAL VALLEY UNIFIED
SAN PERLITA ISD,Texas,4839000,WILLACY COUNTY,TX ,SAN PERLITA ISD
SAN RAFAEL CITY ELEM,California,635090,MARIN COUNTY,CA ,SAN RAFAEL CITY ELEMENTARY
SAN RAFAEL CITY HIGH,California,635110,MARIN COUNTY,CA ,SAN RAFAEL CITY HIGH
SAN RAMON VALLEY UNF,California,635130,CONTRA COSTA COUNTY,CA ,SAN RAMON VALLEY UNIFIED
SAN SABA ISD,Texas,4839030,SAN SABA COUNTY,TX ,SAN SABA ISD
SAN SIMON UNIFIED DISTRICT,Arizona,407430,COCHISE COUNTY,AZ ,SAN SIMON UNIFIED DISTRICT
SAN TAN MONTESSORI SCHOOL  INC.,Arizona,400775,MARICOPA COUNTY,AZ ,SAN TAN MONTESSORI SCHOOL  INC.
SAN VICENTE ISD,Texas,4839060,BREWSTER COUNTY,TX ,SAN VICENTE ISD
SAN YSIDRO ELEM,California,635220,SAN DIEGO COUNTY,CA ,SAN YSIDRO ELEMENTARY
SANBORN CENTRAL SCHOOL DISTRICT 55-5,South Dakota,4603932,SANBORN COUNTY,SD ,SANBORN CENTRAL SCHOOL DISTRICT 55-5
SANBORN REGIONAL SAU OFFICE,New Hampshire,3399968,ROCKINGHAM COUNTY,NH ,SANBORN REGIONAL SAU OFFICE
SANBORN REGIONAL SCHOOL DISTRICT,New Hampshire,3306080,ROCKINGHAM COUNTY,NH ,SANBORN REGIONAL SCHOOL DISTRICT
SAND CREEK COMMUNITY SCHOOLS,Michigan,2630780,LENAWEE COUNTY,MI ,SAND CREEK COMMUNITY SCHOOLS
SAND SPRINGS,Oklahoma,4026880,TULSA COUNTY,OK ,SAND SPRINGS
SAND SPRINGS ELEM,Montana,3012060,GARFIELD COUNTY,MT ,SAND SPRINGS ELEM
SANDERS,Montana,3000073,SANDERS COUNTY,MT ,SANDERS
SANDERS COUNTY ED SERVICESCOOP,Montana,3000074,SANDERS COUNTY,MT ,SANDERS COUNTY ED SERVICESCOOP
SANDERS UNIFIED DISTRICT,Arizona,406740,APACHE COUNTY,AZ ,SANDERS UNIFIED DISTRICT
SANDGATE SCHOOL DISTRICT,Vermont,5007170,BENNINGTON COUNTY,VT ,SANDGATE SCHOOL DISTRICT
SANDHILLS PUBLIC SCHOOLS,Nebraska,3176380,BLAINE COUNTY,NE ,SANDHILLS PUBLIC SCHOOLS
SANDHILLS THEATRE ARTS RENAISS,North Carolina,3700091,MOORE COUNTY,NC ,SANDHILLS THEATRE ARTS RENAISS
SANDOVAL CUSD 501,Illinois,1735310,MARION COUNTY,IL ,SANDOVAL CUSD 501
SANDRIDGE SD 172,Illinois,1735340,COOK COUNTY,IL ,SANDRIDGE SD 172
SANDS CISD,Texas,4839120,DAWSON COUNTY,TX ,SANDS CISD
SANDUSKY CITY,Ohio,3904474,ERIE COUNTY,OH ,SANDUSKY CITY
SANDUSKY COMMUNITY SCHOOL DISTRICT,Michigan,2630840,SANILAC COUNTY,MI ,SANDUSKY COMMUNITY SCHOOL DISTRICT
SANDWICH,Massachusetts,2510470,BARNSTABLE COUNTY,MA ,SANDWICH
SANDWICH CUSD 430,Illinois,1735370,DEKALB COUNTY,IL ,SANDWICH CUSD 430
SANDY CREEK CENTRAL SCHOOL DISTRICT,New York,3625650,OSWEGO COUNTY,NY ,SANDY CREEK CENTRAL SCHOOL DISTRICT
SANDY VALLEY LOCAL,Ohio,3904994,TUSCARAWAS COUNTY,OH ,SANDY VALLEY LOCAL
SANDYSTON-WALPACK CONSOLIDATED SCHOOL,New Jersey,3414610,SUSSEX COUNTY,NJ ,SANDYSTON-WALPACK TOWNSHI
SANFORD SCHOOL DEPARTMENT,Maine,2310500,YORK COUNTY,ME ,SANFORD SCHOOL DEPARTMENT
SANFORD SCHOOL DISTRICT NO. 6 IN THE COUNTY OF CONEJOS AND,Colorado,806390,CONEJOS COUNTY,CO ,SANFORD SCHOOL DISTRICT NO. 6 IN THE COUNTY OF CONEJOS AND
SANFORD-FRITCH ISD,Texas,4839150,HUTCHINSON COUNTY,TX ,SANFORD-FRITCH ISD
SANGAMON AREA SPEC ED DIST,Illinois,1700116,SANGAMON COUNTY,IL ,SANGAMON AREA SPEC ED DIST
SANGAMON ROE,Illinois,1700206,SANGAMON COUNTY,IL ,SANGAMON ROE
SANGAMON VALLEY CUSD 9,Illinois,1700324,MACON COUNTY,IL ,SANGAMON VALLEY CUSD 9
SANGER ISD,Texas,4839180,DENTON COUNTY,TX ,SANGER ISD
SANGER UNF,California,635250,FRESNO COUNTY,CA ,SANGER UNIFIED
SANGRE DE CRISTO SCHOOL DISTRICT NO. RE-22J,Colorado,806420,ALAMOSA COUNTY,CO ,SANGRE DE CRISTO SCHOOL DISTRICT NO. RE-22J
SANILAC ISD,Michigan,2680965,SANILAC COUNTY,MI ,SANILAC ISD
SANKOFA ACADEMY CS,Pennsylvania,4200138,CHESTER COUNTY,PA ,SANKOFA ACADEMY CS
SANKOFA FREEDOM ACADEMY CHARTER SCHOOL,Pennsylvania,4200816,PHILADELPHIA COUNTY,PA ,SANKOFA FREEDOM ACADEMY CHARTER SCHOOL
SANTA ANA UNF,California,635310,ORANGE COUNTY,CA ,SANTA ANA UNIFIED
SANTA ANNA ISD,Texas,4839210,COLEMAN COUNTY,TX ,SANTA ANNA ISD
SANTA BARBARA COUNTY OFFICE OF EDUCATION,California,691034,SANTA BARBARA COUNTY,CA ,SANTA BARBARA COUNTY OFFICE OF EDUCATION
SANTA BARBARA COUNTY ROP,California,600133,SANTA BARBARA COUNTY,CA ,SANTA BARBARA COUNTY ROP
SANTA BARBARA COUNTY SELPA JPA,California,601404,SANTA BARBARA COUNTY,CA ,SANTA BARBARA COUNTY SELPA JPA
SANTA BARBARA ELEMENTARY,California,635360,SANTA BARBARA COUNTY,CA ,SANTA BARBARA ELEMENTARY
SANTA BARBARA SCHOOL DISTRICTS,California,601326,SANTA BARBARA COUNTY,CA ,SANTA BARBARA SCHOOL DISTRICTS
SANTA BARBARA SECONDARY,California,635370,SANTA BARBARA COUNTY,CA ,SANTA BARBARA SECONDARY
SANTA CLARA COUNTY OFFICE OF EDUCATION,California,691035,SANTA CLARA COUNTY,CA ,SANTA CLARA COUNTY OFFICE OF EDUCATION
SANTA CLARA COUNTY ROP,California,600137,SANTA CLARA COUNTY,CA ,SANTA CLARA COUNTY ROP
SANTA CLARA ELEM,California,635490,VENTURA COUNTY,CA ,SANTA CLARA ELEMENTARY
SANTA CLARA UNF,California,635430,SANTA CLARA COUNTY,CA ,SANTA CLARA UNIFIED
SANTA CLARITA VLLY SCH FOOD SVS AGENCY JPA,California,601361,LOS ANGELES COUNTY,CA ,SANTA CLARITA VLLY SCH FOOD SVS AGENCY JPA
SANTA CRUZ CITY ELEM,California,635590,SANTA CRUZ COUNTY,CA ,SANTA CRUZ CITY ELEMENTARY
SANTA CRUZ CITY ELEM/HIGH,California,601327,SANTA CRUZ COUNTY,CA ,SANTA CRUZ CITY ELEMENTARY/HIGH
SANTA CRUZ CITY HIGH,California,635600,SANTA CRUZ COUNTY,CA ,SANTA CRUZ CITY HIGH
SANTA CRUZ COUNTY OFFICE OF EDUCATION,California,691036,SANTA CRUZ COUNTY,CA ,SANTA CRUZ COUNTY OFFICE OF EDUCATION
SANTA CRUZ COUNTY REGIONAL SCHOOL DISTRICT,Arizona,400434,SANTA CRUZ COUNTY,AZ ,SANTA CRUZ COUNTY REGIONAL SCHOOL DISTRICT
SANTA CRUZ COUNTY ROP,California,600143,SANTA CRUZ COUNTY,CA ,SANTA CRUZ COUNTY ROP
SANTA CRUZ COUNTY SHERIFFS OFFICE,Arizona,400777,SANTA CRUZ COUNTY,AZ ,SANTA CRUZ COUNTY SHERIFFS OFFICE
SANTA CRUZ ELEMENTARY DISTRICT,Arizona,407500,SANTA CRUZ COUNTY,AZ ,SANTA CRUZ ELEMENTARY DISTRICT
SANTA CRUZ VALLEY OPPORTUNITIES IN EDUCATION  INC.,Arizona,400264,SANTA CRUZ COUNTY,AZ ,SANTA CRUZ VALLEY OPPORTUNITIES IN EDUCATION  INC.
SANTA CRUZ VALLEY UNIFIED DISTRICT,Arizona,407520,SANTA CRUZ COUNTY,AZ ,SANTA CRUZ VALLEY UNIFIED DISTRICT
SANTA CRUZ VALLEY UNION HIGH SCHOOL DISTRICT,Arizona,407530,PINAL COUNTY,AZ ,SANTA CRUZ VALLEY UNION HIGH SCHOOL DISTRICT
SANTA FE ISD,Texas,4839270,GALVESTON COUNTY,TX ,SANTA FE ISD
SANTA FE PUBLIC SCHOOLS,New Mexico,3502370,SANTA FE COUNTY,NM ,SANTA FE PUBLIC SCHOOLS
SANTA FE R-X,Missouri,2903000,LAFAYETTE COUNTY,MO ,SANTA FE R-X
SANTA FE SOUTH ES (CHARTER),Oklahoma,4000752,OKLAHOMA COUNTY,OK ,SANTA FE SOUTH ES (CHARTER)
SANTA FE TRAIL,Kansas,2010410,OSAGE COUNTY,KS ,SANTA FE TRAIL
SANTA FE TRAIL BOCES,Colorado,800014,OTERO COUNTY,CO ,SANTA FE TRAIL BOCES
SANTA FE TRAIL BOCES,Colorado,800271,OTERO COUNTY,CO ,SANTA FE TRAIL BOCES
SANTA GERTRUDIS ISD,Texas,4839300,KLEBERG COUNTY,TX ,SANTA GERTRUDIS ISD
SANTA LUCIA ROP,California,601359,SAN LUIS OBISPO COUNTY,CA ,SANTA LUCIA ROP
SANTA LUCIA ROP,California,600141,SAN LUIS OBISPO COUNTY,CA ,SANTA LUCIA ROP
SANTA MARIA ISD,Texas,4839330,CAMERON COUNTY,TX ,SANTA MARIA ISD
SANTA MARIA JOINT UNION HIGH,California,635670,SANTA BARBARA COUNTY,CA ,SANTA MARIA JOINT UNION HIGH
SANTA MARIA-BONITA,California,605580,SANTA BARBARA COUNTY,CA ,SANTA MARIA-BONITA
SANTA MONICA-MALIBU UNF,California,635700,LOS ANGELES COUNTY,CA ,SANTA MONICA-MALIBU UNIFIED
SANTA PAULA ELEM,California,635730,VENTURA COUNTY,CA ,SANTA PAULA ELEMENTARY
SANTA PAULA UNION HIGH,California,635760,VENTURA COUNTY,CA ,SANTA PAULA UNION HIGH
SANTA RITA UNION ELEM,California,635790,MONTEREY COUNTY,CA ,SANTA RITA UNION ELEMENTARY
SANTA ROSA,Florida,1201650,SANTA ROSA COUNTY,FL ,SANTA ROSA
SANTA ROSA CONSOLIDATED SCHOOLS,New Mexico,3502400,GUADALUPE COUNTY,NM ,SANTA ROSA CONSOLIDATED SCHOOLS
SANTA ROSA ELEM,California,635810,SONOMA COUNTY,CA ,SANTA ROSA ELEMENTARY
SANTA ROSA ELEM-HIGH CITY OF,California,601329,SONOMA COUNTY,CA ,CITY OF SANTA ROSA ELEMENTARY/HIGH
SANTA ROSA HIGH,California,635830,SONOMA COUNTY,CA ,SANTA ROSA HIGH
SANTA ROSA ISD,Texas,4839360,CAMERON COUNTY,TX ,SANTA ROSA ISD
SANTA YNEZ VALLEY UNION HIGH,California,635850,SANTA BARBARA COUNTY,CA ,SANTA YNEZ VALLEY UNION HIGH
SANTEE COMMUNITY SCHOOLS,Nebraska,3176400,KNOX COUNTY,NE ,SANTEE COMMUNITY SCHOOLS
SANTEE ELEM,California,635880,SAN DIEGO COUNTY,CA ,SANTEE ELEMENTARY
SANTIAM CANYON SD 129J,Oregon,4108100,LINN COUNTY,OR ,SANTIAM CANYON SD 129J
SANTO ISD,Texas,4839390,PALO PINTO COUNTY,TX ,SANTO ISD
SAPULPA,Oklahoma,4026910,CREEK COUNTY,OK ,SAPULPA
SARALAND CITY,Alabama,100185,MOBILE COUNTY,AL ,SARALAND CITY
SARANAC CENTRAL SCHOOL DISTRICT,New York,3600009,CLINTON COUNTY,NY ,SARANAC CENTRAL SCHOOL DISTRICT
SARANAC COMMUNITY SCHOOLS,Michigan,2630930,IONIA COUNTY,MI ,SARANAC COMMUNITY SCHOOLS
SARANAC LAKE CENTRAL SCHOOL DISTRICT,New York,3625740,FRANKLIN COUNTY,NY ,SARANAC LAKE CENTRAL SCHOOL DISTRICT
SARASOTA,Florida,1201680,SARASOTA COUNTY,FL ,SARASOTA
SARATOGA CCSD 60C,Illinois,1735400,GRUNDY COUNTY,IL ,SARATOGA CCSD 60C
SARATOGA SPRINGS CITY SCHOOL DISTRICT,New York,3625770,SARATOGA COUNTY,NY ,SARATOGA SPRINGS CITY SCHOOL DISTRICT
SARATOGA UNION ELEM,California,635910,SANTA CLARA COUNTY,CA ,SARATOGA UNION ELEMENTARY
SARCOXIE R-II,Missouri,2927540,JASPER COUNTY,MO ,SARCOXIE R-II
SARGENT CENTRAL 6,North Dakota,3816430,SARGENT COUNTY,ND ,SARGENT CENTRAL 6
SARGENT PUBLIC SCHOOLS,Nebraska,3176410,CUSTER COUNTY,NE ,SARGENT PUBLIC SCHOOLS
SARGENT SCHOOL DISTRICT NO. RE-33J,Colorado,806450,RIO GRANDE COUNTY,CO ,SARGENT SCHOOL DISTRICT NO. RE-33J
SARTELL-ST. STEPHEN SCHOOL DISTRICT,Minnesota,2732820,STEARNS COUNTY,MN ,SARTELL-ST. STEPHEN SCHOOL DISTRICT
SASAKWA,Oklahoma,4026940,SEMINOLE COUNTY,OK ,SASAKWA
SATANTA,Kansas,2011400,HASKELL COUNTY,KS ,SATANTA
SATORI  INC.,Arizona,400409,PIMA COUNTY,AZ ,SATORI  INC.
SATSOP SCHOOL DISTRICT,Washington,5307680,GRAYS HARBOR COUNTY,WA ,SATSOP SCHOOL DISTRICT
SAU #28 OFFICE,New Hampshire,3399928,ROCKINGHAM COUNTY,NH ,SAU #28 OFFICE
SAU-TECH CAREER CENTER,Arkansas,500002,OUACHITA COUNTY,AR ,SAU-TECH CAREER CENTER
SAUCELITO ELEM,California,635940,TULARE COUNTY,CA ,SAUCELITO ELEMENTARY
SAUCON VALLEY SD,Pennsylvania,4211730,NORTHAMPTON COUNTY,PA ,SAUCON VALLEY SD
SAUGATUCK PUBLIC SCHOOLS,Michigan,2630960,ALLEGAN COUNTY,MI ,SAUGATUCK PUBLIC SCHOOLS
